,Name,Score
24,24,0.0115477084898572
2,2,0.0274680691209617
22,22,0.0387438016528926
3,3,0.0440195341848234
17,17,0.0678061607813674
1,1,0.0899173553719008
9,9,0.115927873779113
4,4,0.178512396694215
13,13,0.201652892561983
31,31,0.332682193839219
8,8,0.361081893313298
18,18,0.361081893313298
15,15,0.385154019534185
21,21,0.45343350864012
20,20,0.463561232156274
32,32,0.463561232156274
6,6,0.497520661157025
7,7,0.497520661157025
5,5,0.54106686701728
10,10,0.54106686701728
30,30,0.54106686701728
33,33,0.54106686701728
19,19,0.745123966942149
23,23,0.745123966942149
34,34,0.750360631104432
12,12,0.751314049586777
14,14,0.751314049586777
16,16,0.751314049586777
25,25,0.751314049586777
26,26,0.751314049586777
27,27,0.751314049586777
28,28,0.751314049586777
29,29,0.751314049586777
11,11,1
